COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/30/16,4:00:00,obsr22459,S30606865,405,,161.8743,11,1
Black Swift,Cypseloides niger,12,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/16/16,4:00:00,obsr50136,S30606969,420,,161.8743,5,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L4344526,P,47.737632,-121.958463,6/20/16,20:54:00,obsr726702,S30325876,12,,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1049769,H,47.5416862,-121.8378156,6/20/16,20:05:00,obsr292096,S30325932,60,0.322,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/30/16,5:30:00,obsr97255,S30468851,295,6.035,,11,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,6/12/16,5:55:00,obsr107483,S30195915,305,11.265,,1,1
Black Swift,Cypseloides niger,4,United States,US,Washington,US-WA,King,US-WA-033,5,L799190,P,47.6701559,-122.1102905,7/30/16,8:28:00,obsr195629,S30935089,122,1.207,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L3184596,H,47.5645542,-122.0550401,7/2/16,11:45:00,obsr313606,S30502767,35,0.322,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L4779039,P,47.6881,-122.256142,7/11/16,12:04:00,obsr726702,S30646541,25,,,1,1
Black Swift,Cypseloides niger,4,United States,US,Washington,US-WA,King,US-WA-033,5,L799190,P,47.6701559,-122.1102905,7/30/16,8:28:00,obsr196219,S30935429,122,1.207,,1,1
Black Swift,Cypseloides niger,5,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,7/3/16,5:45:00,obsr107483,S30513605,322,12.07,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,9,L1247628,H,47.4548197,-121.4393306,7/23/16,9:45:00,obsr218595,S30824298,270,5.633,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L2888853,P,47.6804719,-122.250967,7/5/16,6:30:00,obsr475728,S30543188,90,3.219,,1,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,7/5/16,11:22:00,obsr322387,S30546611,90,3.219,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1666942,P,47.5429207,-121.8375518,7/3/16,19:16:00,obsr162162,S30532721,69,0.161,,2,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1666942,P,47.5429207,-121.8375518,7/3/16,19:16:00,obsr115374,S30532192,69,0.161,,2,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L4344526,P,47.737632,-121.958463,7/15/16,14:15:00,obsr726702,S30698284,34,,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L4790023,P,47.654164,-122.054583,7/16/16,6:46:00,obsr314455,S30704332,,,,1,0
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L269461,H,47.6815336,-122.2505453,7/13/16,,obsr60214,S30701278,,,,1,0
Black Swift,Cypseloides niger,4,United States,US,Washington,US-WA,King,US-WA-033,5,L2626921,P,47.5063597,-121.7896271,7/18/16,19:00:00,obsr477191,S30845723,60,0.805,,2,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L4815821,P,47.159631,-121.908856,7/22/16,15:00:00,obsr107483,S30848945,15,0.322,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,7/6/16,12:15:00,obsr229323,S30818822,100,4.023,,2,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,7/5/16,10:13:00,obsr465142,S30546243,104,3.058,,2,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L4779039,P,47.6881,-122.256142,7/25/16,12:05:00,obsr726702,S30849000,22,,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L2138948,P,47.6837656,-121.954937,7/7/16,13:00:00,obsr287392,S30589667,150,6.437,,1,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/7/16,5:40:00,obsr97255,S30585092,277,8.047,,10,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L4231077,P,47.5617243,-122.1090177,7/27/16,18:31:00,obsr670905,S30875946,40,,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L269461,H,47.6815336,-122.2505453,7/8/16,7:06:00,obsr124466,S30602943,188,4.989,,1,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/7/16,4:00:00,obsr50136,S30606919,405,,161.8743,10,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/7/16,4:00:00,obsr22459,S30606870,405,,161.8743,10,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,7/8/16,8:50:00,obsr223235,S30598170,165,4.667,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L232479,H,47.6981686,-122.2101878,7/8/16,8:00:00,obsr311304,S30598344,90,4.828,,2,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L304860,H,47.6404972,-121.9264226,7/31/16,13:57:00,obsr314455,S30923988,58,2.575,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L950755,H,47.6941367,-122.0490503,7/21/16,19:50:00,obsr726702,S30798241,8,,,2,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L304860,H,47.6404972,-121.9264226,7/31/16,13:57:00,obsr662427,S30924098,58,2.575,,1,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,9,L1125152,H,47.4154564,-121.4395666,8/17/16,13:00:00,obsr333448,S31394237,240,3.219,,1,0
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,8/24/16,14:39:00,obsr726702,S31233262,59,1.609,,2,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L4779039,P,47.6881,-122.256142,8/15/16,12:04:00,obsr726702,S31108068,24,,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L4861499,P,47.4108255,-121.4284945,8/16/16,8:30:00,obsr527242,S31123483,210,7.242,,3,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L4861499,P,47.4108255,-121.4284945,8/16/16,8:30:00,obsr424048,S31123790,210,7.242,,3,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L232479,H,47.6981686,-122.2101878,8/6/16,9:05:00,obsr527242,S30993832,105,3.219,,2,1
Black Swift,Cypseloides niger,5,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,8/6/16,7:30:00,obsr522487,S30998748,180,1.609,,1,1
Black Swift,Cypseloides niger,5,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,8/6/16,6:45:00,obsr355769,S31042672,120,4.828,,6,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L4871012,P,47.421899,-121.4492655,8/21/16,7:52:00,obsr162162,S31192403,157,3.219,,2,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,9,L4871012,P,47.421899,-121.4492655,8/21/16,7:52:00,obsr115374,S31188175,157,3.219,,2,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L2842697,H,47.6873348,-122.0818377,8/21/16,17:00:00,obsr726702,S31191160,44,0.322,,1,1
