COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L571490,H,47.6618703,-122.4355298,10/11/15,7:10:00,obsr114791,S25377052,152,0.402,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,10/11/15,8:30:00,obsr477191,S25385580,180,4.828,2,1,
Harlequin Duck,Histrionicus histrionicus,,10,United States,US,Washington,US-WA,King,US-WA-033,L2075564,P,47.6571053,-122.4213517,10/11/15,7:00:00,obsr169860,S25385322,660,,5,1,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L593689,H,47.5102442,-122.4645996,10/3/15,8:22:00,obsr547246,S25285751,30,,2,1,G1425759
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,10/2/15,6:40:00,obsr107483,S25268980,450,8.047,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,10/23/15,17:30:00,obsr422009,S25522116,25,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,15,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,10/24/15,8:34:00,obsr321312,S25529101,42,1.062,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L571490,H,47.6618703,-122.4355298,10/11/15,7:45:00,obsr291158,S25398869,225,3.219,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,10/4/15,7:02:00,obsr504941,S25292601,307,4.828,2,1,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L593689,H,47.5102442,-122.4645996,10/3/15,8:22:00,obsr434608,S25289075,30,,2,1,G1425759
Harlequin Duck,Histrionicus histrionicus,,6,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,10/15/15,9:43:00,obsr285661,S25426810,71,0.161,1,1,
