COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Lazuli Bunting,Passerina amoena,7,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/14/15,5:00:00,obsr285965,315,,161.8743,14,1
Lazuli Bunting,Passerina amoena,7,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/14/15,5:00:00,obsr425319,315,,161.8743,14,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L514231,H,47.6829127,-121.9239418,5/23/15,6:40:00,obsr269661,231,6.437,,21,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/24/15,12:57:00,obsr321305,154,4.023,,4,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L514231,H,47.6829127,-121.9239418,5/24/15,10:10:00,obsr554238,140,3.219,,1,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L514231,H,47.6829127,-121.9239418,5/31/15,7:00:00,obsr425319,270,4.023,,10,1
Lazuli Bunting,Passerina amoena,4,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/28/15,5:00:00,obsr195629,330,,161.8743,19,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L514231,H,47.6829127,-121.9239418,5/30/15,,obsr725950,,,,2,1
Lazuli Bunting,Passerina amoena,5,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/14/15,5:20:00,obsr97255,301,8.047,,16,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,5/25/15,8:23:00,obsr107483,208,10.783,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L416332,H,47.4190282,-122.2763085,5/25/15,10:43:00,obsr241101,54,2.816,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L416332,H,47.4190282,-122.2763085,5/25/15,10:43:00,obsr321312,54,2.816,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/9/15,15:57:00,obsr97255,159,4.828,,2,1
Lazuli Bunting,Passerina amoena,X,United States,US,Washington,US-WA,King,US-WA-033,5,L131903,T,47.3073196,-122.2282333,5/8/15,8:00:00,obsr623865,1440,,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,5/9/15,6:55:00,obsr50351,300,5.633,,9,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,5/8/15,10:45:00,obsr169860,65,1.609,,2,1
Lazuli Bunting,Passerina amoena,4,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/14/15,5:31:00,obsr294648,286,6.437,,15,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,,L2006315,P,47.3884715,-122.3736191,5/15/15,11:00:00,obsr301561,45,0.161,,2,0
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,,L2006315,P,47.3884715,-122.3736191,5/15/15,11:00:00,obsr393826,45,0.161,,2,0
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L321969,H,47.5597558,-122.0549817,5/19/15,9:53:00,obsr195629,173,6.437,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/7/15,5:15:00,obsr195629,345,,161.8743,14,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,5/17/15,,obsr725950,,,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,5/9/15,6:30:00,obsr477191,150,1.609,,2,1
Lazuli Bunting,Passerina amoena,5,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/15,4:45:00,obsr22459,300,,161.8743,16,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,5/25/15,11:40:00,obsr291158,135,1.609,,1,1
Lazuli Bunting,Passerina amoena,7,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/14/15,5:00:00,obsr195629,315,,161.8743,14,1
Lazuli Bunting,Passerina amoena,5,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/21/15,4:45:00,obsr195629,300,,161.8743,16,1
Lazuli Bunting,Passerina amoena,X,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/15/15,11:30:00,obsr223264,120,3.219,,1,1
Lazuli Bunting,Passerina amoena,X,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/16/15,7:00:00,obsr223264,210,3.219,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L514231,H,47.6829127,-121.9239418,5/2/15,12:27:00,obsr97255,260,4.023,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,5/3/15,9:39:00,obsr504941,171,3.219,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/11/15,5:30:00,obsr209367,360,,121.4057,13,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/25/15,5:29:00,obsr294648,291,4.828,,10,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/25/15,3:45:00,obsr22459,380,,161.8743,8,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/25/15,3:45:00,obsr146271,380,,161.8743,8,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/25/15,3:45:00,obsr195629,380,,161.8743,8,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/4/15,4:15:00,obsr425319,345,,161.8743,15,1
Lazuli Bunting,Passerina amoena,4,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,6/5/15,18:45:00,obsr553380,90,1.931,,2,1
Lazuli Bunting,Passerina amoena,5,United States,US,Washington,US-WA,King,US-WA-033,5,L3700875,P,47.278851,-122.155411,6/6/15,10:10:00,obsr424498,67,0.483,,16,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L302967,H,47.2737373,-122.027222,6/16/15,12:43:00,obsr291283,45,2.253,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L282090,H,47.3714188,-122.2585475,6/28/15,7:30:00,obsr115902,90,1.609,,1,1
Lazuli Bunting,Passerina amoena,6,United States,US,Washington,US-WA,King,US-WA-033,5,L3703553,P,47.2797732,-122.1525568,6/6/15,10:20:00,obsr231565,52,0.483,,17,1
